Aimé Césaire,acesaire,"poet, politician",,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Basse-Pointe, Martinique",1913-06-25,,,,,,,,,basse_pointe_martinique,Basse-Pointe,,Martinique
"Fort-de-France, Martinique",1924,,,,,,We do not know the reason for this visit.,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1931-10,,,,,,,,,paris_france,Paris,,France
"Šibenik, Croatia",1935-08,,,,,,,,,sibenik_croatia,Šibenik,,Croatia
"Paris, France",1935-09,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1936-07,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1936-10,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1939-09,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Port-au-Prince, Haiti",1944-05-17,,,,,,,,,port_au_prince_haiti,Port-au-Prince,,Haiti
"Fort-de-France, Martinique",1944-12-15,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Port-au-Prince, Haiti",1945-11-12,,,,,,,,,port_au_prince_haiti,Port-au-Prince,,Haiti
"Miami, Florida, USA",1945-11-17,,,,,,,,,miami_florida_usa,Miami,,United States
"New York, New York, USA",1945-11-18,,,,,,,,,new_york_new_york_usa,New York,,United States
"Paris, France",1945-12-09,,,,,,,,,paris_france,Paris,,France
"Miami, Florida, USA",1946-05,,,,,,,,,miami_florida_usa,Miami,,United States
"Fort-de-France, Martinique",1946-05-05,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1946-07-10,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1946-10-21,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1947-01,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1947-10-06,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1947-11,,,,,,,,,paris_france,Paris,,France
"Wroclaw, Poland",1948-08-24,,,,,,,,,wroclaw_poland,Wroclaw,,Poland
"Auschwitz, Poland",1948-08-30,,,,,,,,,auschwitz_poland,Auschwitz,,Poland
"Paris, France",1948-09,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1948-11,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1949-01,,,,,,,,,paris_france,Paris,,France
"Bucarest, Romania",1949-03-29,,,,,,,,,bucarest_romania,Bucarest,,Romania
"Paris, France",1949-04,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1949-09,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1950-01,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1950-10-24,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1952-06-15,,,,,,,,,paris_france,Paris,,France
"Vienna, Austria",1952-12-12,,,,,,,,,vienna_austria,Vienna,,Austria
"Paris, France",1952-12-21,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1953-02,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Moscow, Russia",1953-03-07,,,,,,,,,moscow_russia,Moscow,,Russia
"Paris, France",1953-03-14,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1953-04,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1953-06,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1953-07-22,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1953-09,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1955-03-22,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1955-05,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1955-12-09,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1956-01,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1956-11-19,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1957-07,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1957-08,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1958-01,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1958-03,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1958-06,,,,,,,,,paris_france,Paris,,France
"Brussels, Belgium",1958-06,,,,,,,,,brussels_belgium,Brussels,,Belgium
"Paris, France",1958-06,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1958-06,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1959-03,,,,,,,,,paris_france,Paris,,France
"Rome, Italy",1959-03-26,,,,,,,,,rome_italy,Rome,,Italy
"Paris, France",1959-04,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1960-01-08,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1960-03,,,,,,,,,paris_france,Paris,,France
"Paris, France",1960-11,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1961-04-11,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1961-05,,,,,,,,,paris_france,Paris,,France
"Dakar, Senegal",1961-08,,,,,,,,,dakar_senegal,Dakar,,Senegal
"Paris, France",1961-09,,,,,,,,,paris_france,Paris,,France
"Berlin, Germany",1961-09-19,,,,,,,,,berlin_germany,Berlin,,Germany
"Eschenau, Austria",1961-09,,,,,,,,,eschenau_austria,Eschenau,,Austria
"Brussels, Belgium",1961-10,,,,,,,,,brussels_belgium,Brussels,,Belgium
"Munich, Germany",1961-11,,,,,,,,,munich_germany,Munich,,Germany
"Milan, Italy",1962-01,,,,,,,,,milan_italy,Milan,,Italy
"Naples, Italy",1962-01,,,,,,,,,naples_italy,Naples,,Italy
"Rome, Italy",1962-01,,,,,,,,,rome_italy,Rome,,Italy
"Venice, Italy",1962-01,,,,,,,,,venice_italy,Venice,,Italy
"Fort-de-France, Martinique",1962-03,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1962-04,,,,,,,,,paris_france,Paris,,France
"Salvador de Bahia, Brazil",1962-09,,,,,,,,,salvador_de_bahia_brazil,Salvador de Bahia,,Brazil
"Port-of-Spain, Trinidad",1962-10,,,,,,,,,port_of_spain_trinidad,Port-of-Spain,,Trinidad
"Munich, Germany",1962-10,,,,,,,,,munich_germany,Munich,,Germany
"Fort-de-France, Martinique",1962-10,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1963-01,,,,,,,,,paris_france,Paris,,France
"Hanover, Germany",1963-04-20,,,,,,,,,hanover_germany,Hanover,,Germany
"Addis-Abeba, Ethiopia",1963-05,,,,,,,,,addis_abeba_ethiopia,Addis-Abeba,,Ethiopia
"Fort-de-France, Martinique",1963-07,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1963-09,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1964-01,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Salvador de Bahia, Brazil",1964-02,,,,,,,,,salvador_de_bahia_brazil,Salvador de Bahia,,Brazil
"Fort-de-France, Martinique",1964-03,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1964-05,,,,,,,,,paris_france,Paris,,France
"Salzburg, Austria",1964-08,,,,,,,,,salzburg_austria,Salzburg,,Austria
"Vienna, Austria",1964-08,,,,,,,,,vienna_austria,Vienna,,Austria
"Berlin, Germany",1964-09-21,,,,,,,,,berlin_germany,Berlin,,Germany
"Venice, Italy",1964-09-26,,,,,,,,,venice_italy,Venice,,Italy
"Brussels, Belgium",1964-10-01,,,,,,,,,brussels_belgium,Brussels,,Belgium
"Fort-de-France, Martinique",1965-03,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1965-05,,,,,,,,,paris_france,Paris,,France
"Dakar, Senegal",1966-03,,,,,,,,,dakar_senegal,Dakar,,Senegal
"Abidjan, Ivory Coast",1966-04,,,,,,,,,abidjan_ivory_coast,Abidjan,,Ivory Coast
"Paris, France",1966-10,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1967-01,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1967-04,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1967-08,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1967-10,,,,,,,,,paris_france,Paris,,France
"Havana, Cuba",1967-12-26,,,,,,,,,havana_cuba,Havana,,Cuba
"Paris, France",1968-02,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1968-03,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1968-04,,,,,,,,,paris_france,Paris,,France
"New York, New York, USA",1968-06,,,,,,,,,new_york_new_york_usa,New York,,United States
"Fort-de-France, Martinique",1968-06,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1968-07,,,,,,,,,paris_france,Paris,,France
"Paris, France",1969-01,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1970-07,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Paris, France",1970-10,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1971-01,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Port-of-Spain, Trinidad",1971-10,,,,,,,,,port_of_spain_trinidad,Port-of-Spain,,Trinidad
"Paris, France",1971-10,,,,,,,,,paris_france,Paris,,France
"Fort-de-France, Martinique",1971-12,,,,,,,,,fort_de_france_martinique,Fort-de-France,,Martinique
"Montreal, Canada",1972-04,,,,,,,,,montreal_canada,Montreal,,Canada
