AuthorID,Name,Type,DateArrival,CityArrival,CountryArrival,DateDeparture,CityDeparture,CountryDeparture,Event,CitationSource,Notes
acesaire,Aimé Césaire,writer,1913-06-25,Basse-Pointe,Martinique,1924,Fort-de-France,Martinique,Residence,"Ngal, M. a M. Aimé Césaire : Un homme à la recherche d’une patrie. Ed. rev.,  et augm. Paris: Présence africaine, 1994. Print.
",
acesaire,Aimé Césaire,writer,1924,Fort-de-France,Martinique,1932-06,Paris,France,Studies,"Ngal, M. a M. Aimé Césaire : Un homme à la recherche d’une patrie. Ed. rev.,  et augm. Paris: Présence africaine, 1994. Print.
",
acesaire,Aimé Césaire,writer,1932-06,Paris,France,1939-09-30,Fort-de-France,Martinique,Studies,"Ngal, M. a M. Aimé Césaire : Un homme à la recherche d’une patrie. Ed. rev.,  et augm. Paris: Présence africaine, 1994. Print.
",According to Toumson he leaves Martinique in September
acesaire,Aimé Césaire,writer,1935-07,Šibenik,Croatia,1935-09,Paris,France,Vacation,"Ngal, M. a M. Aimé Césaire : Un homme à la recherche d’une patrie. Ed. rev.,  et augm. Paris: Présence africaine, 1994. Print.
",
acesaire,Aimé Césaire,writer,1936-07,Fort-de-France,Martinique,1936-11,Paris,France,Vacation,"Toumson, Roger, and Simonne Henry-Valmore. Aimé Césaire, le nègre inconsolé. Paris: Syros, 1993. Print.","Toumson dates the departure from Paris ""A la fin de l'année universitaire"""
acesaire,Aimé Césaire,writer,1939-10,Fort-de-France,Martinique,1945-11-12,Port-au-Prince,Haiti,Residence,"Ngal, M. a M. Aimé Césaire : Un homme à la recherche d’une patrie. Ed. rev.,  et augm. Paris: Présence africaine, 1994. Print.
",
acesaire,Aimé Césaire,writer,1944-05-17,Port-au-Prince,Haiti,1944-12-15,Fort-de-France,Martinique,Residence,"Véron, Kora. “Césaire at the Crossroads in Haiti: Correspondence with Henri Seyrig.” Comparative Literature Studies 50.3 (2013): 430–444. JSTOR. Web.",
acesaire,Aimé Césaire,writer,1945-11,Port-au-Prince,Haiti,1945-11,New York,United States,Transport,"Hale, Thomas A, and Kora Véron. Les Écrits d’Aimé Césaire. Bibliographie commentée (1913-2008). 1st ed. Vol. 1. Paris: Honoré Champion, 2013. Print. 2 vols.
",
acesaire,Aimé Césaire,writer,1945-11,New York,NY,1945-11,Paris,France,Transport,,
acesaire,Aimé Césaire,writer,1945,Paris,France,1993,Fort-de-France,Martinique,Residence,,Congrès des Écrivains et Artistes Noirs
rdepestre,René Depestre,"writer, theorist, anthropologist",1926-08-29,Jacmel,Haiti,1940-01-01,Port-au-Prince,Haiti,Residence,,Depestre's birthplace; student at the Frères Bretons de l'Instruction Chrétienne; also attended Pinchinat High School and Pétion High School
