Katherine Dunham,kdunham,dancer,,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Glen Ellyn,Illinois,US,1909-06-22,,"Aschenbrenner 2002, 7; Beckford 1979, 10-11. ",,1914,"Aschenbrenner 2002, 7; Beckford 1979, 10-11. ","Born in hospital in Chicago, Illinois but family lived in Glen Ellyn. Beckford has birth at as 1912 and departure to Chicago at age of 5, but Aschenbrenner concords with other sources on 1909 date of birth. Exact dates of childhood residence need further clarification.",,
Chicago,Illinois,US,1914,,"Beckford 1979, 11, 15",,1917,"Beckford 1979, 11, 15",,,
Joliet,Illinois,US,1917,,"Aschenbrenner 2002, 19",,1928,"Aschenbrenner 2002, 19",,,
Chicago,Illinois,US,1929,,"Clark and Johnson 2005, xvii",,1935,"Clark and Johnson 2005, xvii",Enters University of Chicago in 1929,,
Chicago,Illinois,US,1929-01,,"Das 2014, 27",,1929-01,"Das 2014, 27","Performs in ""The Man Who Died at Twelve O'Clock, a one-act play by Paul Green, at the Cube Theatre",,
Chicago,Illinois,US,1930-01,,"Barzel 1983, 94",,1930-01,"Barzel 1983, 94",Meets Mark Turbyfill at Mary Hunter's Apartment,,
Chicago,Illinois,US,1930-02,,"Barzel 1983, 94-98",,1931-01,"Barzel 1983, 94-98",Runs a ballet school with Mary Turbyfill,,
Chicago,Illinois,US,1930-05-29,,"Das 2014, 31",,,"Das 2014, 31",Marriage to Jordis McCoo,,
Chicago,Illinois,US,1932-12,,"Das 2014, 33",,1932-12,"Das 2014, 33","Negro Dance Group (which Dunham co-directs with Ludmila Speranzeva) performs at the Chicago Beaux Arts Ball, which Chicago Daily News calls ""the first Negro ballet ever danced.""",,
Chicago,Illinois,US,1934-11-30,,"Das 2014, 36",,1934-11-30,"Das 2014, 36","Dunham dances title role in Ruth Page's ballet, La Guiablesse",,
Port-au-Prince,,Haiti,1935-06-03,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1935-06-24,Melville Herskovits Papers/Katherine Mary Dunham Papers,"Fieldwork in Haiti; dates are from letters between Dunham and Herksovits, documenting her arrival and departure",,
Accompong,,Jamaica,1935-07,,"Das 2014, 42-3",,1935-08,"Das 2014, 42-3",Fieldwork in Jamaica,,
,,Martinique,1935-08,,"Das 2014, ",,1935-10,"Das 2014, ",Fieldwork in Martinique,,
,,Trinidad,1935-10,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1935-12,Melville Herskovits Papers/Katherine Mary Dunham Papers,Fieldwork in Trinidad,,
,,Haiti,1935-12,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1936-04-22,Melville Herskovits Papers/Katherine Mary Dunham Papers,Fieldwork in Haiti,,
,,Haiti,1936-04-03,,"Ramsey 2014, 58",,1936-04-03,"Ramsey 2014, 58",Dunham gives performance in Port-au-Prince,,
Chicago,Illinois,US,1936,,"Clark and Johnson 2005, xvii",,1936,"Clark and Johnson 2005, xvii",Receives Ph.B. (Bachelor of Philosophy Degree) from University of Chicago,,
New York,New York,US,1937-03-07,,"Manning 2001, 504, n18-19",,1937-03-07,"Manning 2001, 504, n18-19",Performs as part of Negro Dance Evening at the Young Men's Hebrew Association,,
Chicago,Illinois,US,1938-01-27,,"Das 2014, 77-9",,1938-02-06,"Das 2014, 77-9",L'Ag'ya performed at Federal Theatre in Chicago; Dunham appointed Director of the Negro Unit of the Chicago Branch of the Federal Theatre Project,,
"Washington, D.C.",,US,1938-04-30,,"Ramsey 2014, 62",,1938-04-30,"Ramsey 2014, 62","Performs for Haitian Minister at the Haitian Coffee Festival in Washington, D.C.",,
Chicago,Illinois,US,1938-06-02,,"Das 2014, 72",,1938-06-02,"Das 2014, 72","Performs at Benefit for Children in Spanish War Area, sponsored by Medical Bureau to Aid Spanish Democracy. Repeated 8 Oct 1938",,
