X,Y,UniqueCity,UniqueCountry,Latitude,Longitude
-61.1155622,14.8672508,Basse-Pointe,Martinique,14.8672508000,-61.1155622000
-61.0587804,14.6160647,Fort-de-France,Martinique,14.6160647000,-61.0587804000
2.3522219,48.856614,Paris,France,48.8566140000,2.3522219000
15.8952045,43.7350196,Šibenik,Croatia,43.7350196000,15.8952045000
-72.3074326,18.594395,Port-au-Prince,Haiti,18.5943950000,-72.3074326000
-74.0059413,40.7127837,New York,NY,40.7127837000,-74.0059413000
-72.5263984,18.2430063,Jacmel,Haiti,18.2430063000,-72.5263984000
-74.0059413,40.7127837,New York,United States,40.7127837000,-74.0059413000
-1.622137,49.6337308,Cherbourg,France,49.6337308000,-1.6221370000
14.4378005,50.0755381,Prague,Czech Republic,50.0755381000,14.4378005000
13.404954,52.5200066,Berlin,Germany,52.5200066000,13.4049540000
9.1859243,45.4654219,Milan,Italy,45.4654219000,9.1859243000
-82.3665956,23.1135925,Havana,Cuba,23.1135925000,-82.3665956000
8.946256,44.4056499,Genoa,Italy,44.4056499000,8.9462560000
16.3738189,48.2081743,Vienna,Austria,48.2081743000,16.3738189000
1.24028,49.231559,Andé,France,49.2315590000,1.2402800000
37.6173,55.755826,Moscow,Russia,55.7558260000,37.6173000000
121.473701,31.230416,Shanghai,China,31.2304160000,121.4737010000
105.8341598,21.0277644,Hanoi,Vietnam,21.0277644000,105.8341598000
-76.8099041,18.0178743,Kingston,Jamaica,18.0178743000,-76.8099041000
2.7577759,43.200503,Lézignan-Corbières,France,43.2005030000,2.7577759000
