Claude McKay,cmckay,"poet, novelist",,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Nairne Castle, Clarendon, Jamaica",1889-09-15,,W. James 3-4,,1897,Cooper 9,"other sources identify his birthdate as 9-15-1890 and the birthplace as Sunny Ville, also in Clarendon Parish; Cooper says that McKay was born in Sunny Ville in 1890 and left at the age of 7",nairne_castle_clarendon_jamaica
"Montego Bay, Saint James, Jamaica",1897,,Cooper 11,1901,,Cooper 11,,montego_bay_saint_james_jamaica
"Sunny Ville, Clarendon, Jamaica",,1904,Cooper 16,1906,,Cooper 21,,sunny_ville_clarendon_jamaica
"Kingston, Jamaica",1907-01,,Cooper 21,,1907-01,Cooper 21,"enrolled in trade school in Kingston beginning in January 1907; the school was destroyed by the earthquake on January 14, 1907",kingston_jamaica
"Brown's Town, St. Ann, Jamaica",1907-01,,Cooper 22,1909,,Cooper 22,works as an apprentice to a master craftsman for two years; meets Walter Jekyll there,brown's_town_st_ann_jamaica
"Kingston, Jamaica",,1910,Cooper 27,,1912,Cooper 64,works as a constable,kingston_jamaica
"Charleston, South Carolina, USA",1912,,Cooper 64,,1912,Cooper 65,,charleston_south_carolina_usa
"Tuskegee, Alabama, USA",1912,,Cooper 65,,1912-10-30,Cooper 67,enrolls at the Tuskegee Institute,tuskegee_alabama_usa
"Manhattan, Kansas, USA",1912-10-30,,Cooper 67,,1914,Cooper 70,transfers to Kansas State College,manhattan_kansas_usa
"New York, New York, USA",1914,,Cooper 71,,,,,new_york_new_york_usa
"Hanover, New Hampshire, USA",,1916-01-11,"Claude McKay research collection, 1971-1992, Folder 3--Schomburg Center",1916-02-15,,"Claude McKay research collection, 1971-1992, Folder 3--Schomburg Center","""I worked as a janitor and houseman at the D.K.E. House and the Hanover Inn from 1915 until the spring of 1916, and my only connection with the college was that I used to go to the library at night sometimes to read.”, letter to Harold Rugg, librarian at Dartmouth, 1921, papers of Harold Rugg-Dartmouth College",hanover_new_hampshire_usa
"Pittsburgh, Pennsylvania, USA",,1917,Cooper 85,,,,Spent this time period working on the Pennsylvania Railroad and traveling throughout the US.,pittsburgh_pennsylvania_usa
"Harrisburg, Pennsylvania, USA",,1917,Cooper 85,,,,,harrisburg_pennsylvania_usa
"Philadelphia, Pennsylvania, USA",,1917,Cooper 85,,,,,philadelphia_pennsylvania_usa
"Washington, D.C., USA",,1917,Cooper 85,,,,,washington_dc._usa
"Baltimore, Maryland, USA",,1917,Cooper 85,,,,,baltimore_maryland_usa
"New York, New York, USA",,1918-09-29,"Claude McKay research collection, 1971-1992, Folder 3--Schomburg Center",1919-04-30,,"Cooper 108; Claude McKay research collection, 1971-1992, Folder 3--Schomburg Center",,new_york_new_york_usa
"London, England",1919,,Cooper 108,1920-12-15,,"Claude McKay research collection, 1971-1992, Folder 3--Schomburg Center",,london_england
"New York, New York, USA",1921-01,,Cooper 134,,1922-09-20,Cooper 171,,new_york_new_york_usa
"Liverpool, England",1922-10,,Cooper 171,,1922-10,Cooper 171,,liverpool_england
"London, England",1922-10,,Cooper 171,,1922-10,Cooper 172,,london_england
"Berlin, Germany",1922-10,,Cooper 172,,1922-10,Cooper 172,,berlin_germany
"Szczecin, Poland",1922-10,,Cooper 172,,1922-10,Cooper 172,,szczecin_poland
"Petrograd, Russia",1922-10,,Cooper 172,,1922-10,Cooper 172,attends Fourth Congress of the Communist International,petrograd_russia
"Moscow, Russia",1922-11,,Cooper 172,,1923-04,McKay 222,,moscow_russia
"Petrograd, Russia",1923-04,,McKay 222,,1923-05,Cooper 193,,petrograd_russia
"Hamburg, Germany",1923-05,,Cooper 193,,1923-05,Cooper 193,,hamburg_germany
"Berlin, Germany",1923-05,1923-08-20,"Cooper 193; Claude McKay letters and manuscripts, 1915-1952-Schomburg Center",1923-09-25,1923-10,"Claude McKay letters and manuscripts, 1915-1952-Schomburg Center; Cooper 199",,berlin_germany
