George Lamming,glamming,writer,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Carrington Town, Barbados",1927-06-08,,Scott 75,,1946,,,carrington_town_barbados
"Belmont, Trinidad",1946,,Scott 87,,1950,,goes to Trinidad to teach at Colegio de Venezuela,belmont_trinidad
"London, England",1950-04,,Schwarz 6,,,,leaves for England on same ship as novelist Sam Selvon ,london_england
"Paris, France",,1955,Scott 118,,,,date ambiguous for this visit,paris_france
"Ibiza, Spain",,1955,Griswold 16,,,,visits Canadian writer Mordecai Richler,ibiza_spain
"New York, New York, USA",,1955-08,Lamming Pleasures of Exile 184; Schwarz 11,,,,travels in connection with Gugghenheim Foundation fellowship; stays on Riverside Drive with frequent visits to Harlem,new_york_new_york_usa
"Long Island, New York, USA",1955-12-16,,Lamming Pleasures of Exile 204; Schwarz 11,,1955-12-23,Lamming Pleasures of Exile 207,"attends a party of the African American ""elite""",long_island_new_york_usa
"Georgia, USA",,1955,Lamming Pleasures of Exile 208; Schwarz 11,,,,travel in connection with Gugghenheim Foundation fellowship (could be early 1956),georgia_usa
"Washington, D.C., USA",,1955,Lamming Pleasures of Exile 208; Schwarz 11,,,,spends one week at Howard University (could be early 1956),washington_dc._usa
"Kingston, Jamaica",,1955-12-25,Lamming Sovereignty 48,,,,spends Christmas with Dorothy and John Figueroa (other sources suggest this may have been 1954) ,kingston_jamaica
"Port-au-Prince, Haiti",,1956,"Lamming, Pleasures of Exile, 9",,,,attends Ceremony of Souls,port_au_prince_haiti
Trinidad,,1956,Schwarz 11,,,,attends launch of Eric Williams's People's National Movement ,trinidad
Guyana,,1956,Schwarz 11,,,,,guyana
Jamaica,,1956,Schwarz 11,,,,,jamaica
Puerto Rico,,1956,Schwarz 11,,,,,puerto_rico
"Paris, France",,1956-09,Scott 120; Lamming Conversations 36,,,,"attends First Congress of Black Writers and Artists; gives speech ""The Negro Writer and his World"" on September 21, 1956",paris_france
"London, England",,1956,Griswold 16,,1958,,,london_england
