Katherine Dunham,kdunham,dancer,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Glen Ellyn, Illinois, USA",1909-06-22,,Aschenbrenner 2002; Beckford 1979,,1914,Aschenbrenner 2002; Beckford 1979,"Born in hospital in Chicago, Illinois but family lived in Glen Ellyn. Beckford has birth at as 1912 and departure to Chicago at age of 5, but Aschenbrenner concords with other sources on 1909 date of birth. Exact dates of childhood residence need further clarification.",glen_ellyn_illinois_usa
"Chicago, Illinois, USA",1914,,Beckford 1979,,1917,Beckford 1979,,chicago_illinois_usa
"Joliet, Illinois, USA",1917,,Aschenbrenner 2002,,1928,Aschenbrenner 2002,,joliet_illinois_usa
"Chicago, Illinois, USA",1929,,Clark and Johnson 2005; ,,1935,Clark and Johnson 2005; Das 2017; Barzel 1983,"Enters University of Chicago in 1929; 1929-01 Performs in ""The Man Who Died at Twelve O'Clock, a one-act play by Paul Green, at the Cube Theatre; 1930-10 Meets Mark Turbyfill at Mary Hunter's Apartment; 1930-02 through 1931-01 Runs a ballet school with Mary Turbyfill; 1930-05-29 Marriager to Jordis McCoo; 1932-12 Negro Dance Group (which Dunham co-directs with Ludmila Speranzeva) performs at the Chicago Beaux Arts Ball, which Chicago Daily News calls ""the first Negro ballet ever danced'; 1934-11-30 Dances title role in Ruth Page's ballet, La Guiablesse",chicago_illinois_usa
"Port-au-Prince, Haiti",1935-06-03,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1935-06-24,Melville Herskovits Papers/Katherine Mary Dunham Papers,"Fieldwork in Haiti; dates are from letters between Dunham and Herksovits, documenting her arrival and departure",port_au_prince_haiti
"Accompong, Jamaica",1935-07,,"Das 2017, 42-3",,1935-08,"Das 2017, 42-3",Fieldwork in Jamaica,accompong_jamaica
Martinique,1935-08,,"Das 2017, ",,1935-10,"Das 2017, ",Fieldwork in Martinique,martinique
Trinidad,1935-10,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1935-12,Melville Herskovits Papers/Katherine Mary Dunham Papers,Fieldwork in Trinidad,trinidad
Haiti,1935-12,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1936-04-22,"Melville Herskovits Papers/Katherine Mary Dunham Papers; Ramsey 2015, 58","Fieldwork in Haiti; dates are from letters between Dunham and Herksovits, documenting her arrival and departure; 1936-04-03 Ramsey notes Dunham gives performance in Port-au-Prince",haiti
"Chicago, Illinois, USA",1936,,"Clark and Johnson 2005, xvii",,1936,"Clark and Johnson 2005, xvii",Receives Ph.B. (Bachelor of Philosophy Degree) from University of Chicago,chicago_illinois_usa
"New York, New York, USA",1937-03-07,,"Manning 2001, 504, n18-19",,1937-03-07,"Manning 2001, 504, n18-19",Performs as part of Negro Dance Evening at the Young Men's Hebrew Association,new_york_new_york_usa
