Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Glen Ellyn, Illinois, USA",1909-06-22,,"Aschenbrenner 2002, 7; Beckford 1979, 10-11. ",,1914,"Aschenbrenner 2002, 7; Beckford 1979, 10-11. ","Born in hospital in Chicago, Illinois but family lived in Glen Ellyn. Beckford has birth at as 1912 and departure to Chicago at age of 5, but Aschenbrenner concords with other sources on 1909 date of birth. Exact dates of childhood residence need further clarification.",,,,Glen Ellyn,Illinois,US
"Chicago, Illinois, USA",1914,,"Beckford 1979, 11, 15",,1917,"Beckford 1979, 11, 15",,,,,Chicago,Illinois,US
"Joliet, Illinois, USA",1917,,"Aschenbrenner 2002, 19",,1928,"Aschenbrenner 2002, 19",,,,,Joliet,Illinois,US
"Chicago, Illinois, USA",1929,,"Clark and Johnson 2005, xvii",,1935,"Clark and Johnson 2005, xvii",Enters University of Chicago in 1929,,,,Chicago,Illinois,US
"Chicago, Illinois, USA",1929-01,,"Das 2014, 27",,1929-01,"Das 2014, 27","Performs in ""The Man Who Died at Twelve O'Clock, a one-act play by Paul Green, at the Cube Theatre",,,,Chicago,Illinois,US
"Chicago, Illinois, USA",1930-01,,"Barzel 1983, 94",,1930-01,"Barzel 1983, 94",Meets Mark Turbyfill at Mary Hunter's Apartment,,,,Chicago,Illinois,US
"Chicago, Illinois, USA",1930-02,,"Barzel 1983, 94-98",,1931-01,"Barzel 1983, 94-98",Runs a ballet school with Mary Turbyfill,,,,Chicago,Illinois,US
"Chicago, Illinois, USA",1930-05-29,,"Das 2014, 31",,,"Das 2014, 31",Marriage to Jordis McCoo,,,,Chicago,Illinois,US
"Chicago, Illinois, USA",1932-12,,"Das 2014, 33",,1932-12,"Das 2014, 33","Negro Dance Group (which Dunham co-directs with Ludmila Speranzeva) performs at the Chicago Beaux Arts Ball, which Chicago Daily News calls ""the first Negro ballet ever danced.""",,,,Chicago,Illinois,US
"Chicago, Illinois, USA",1934-11-30,,"Das 2014, 36",,1934-11-30,"Das 2014, 36","Dunham dances title role in Ruth Page's ballet, La Guiablesse",,,,Chicago,Illinois,US
