Wifredo Lam,wlam,artist,Tao Leigh Goffe,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID,Personal Notes,Links to resources
"Sagua La Grande, Cuba",1902-12-08,,,,,,birth,sagua_la_grande_cuba,,sagua_la_grande_cuba
"Madrid, Spain",,1923,,,,,"leaves Cuba to study art under Fernando Alvarez de Sotomayor y Zaragoza, curator of Museo del Prado",madrid_spain,,madrid_spain
"Barcelona, Spain",1937-09,,,,1938,,receives injury during the Spanish Civil War,barcelona_spain,,barcelona_spain
"Paris, France",1938,,,,1940,,meets Picasso with letter of introduction,paris_france,,paris_france
"Marseilles, France",1940,,,,,,,marseilles_france,,marseilles_france
Martinique,1941,,,,,,"leaves with André Breton and Claude Levi-Strauss for Martinique, and is interned at Lazaret Camp for 40 days",martinique,,martinique
Guadeloupe,1941-05-16,,,,,,leaves for Cuba aboard the cargo ship Presidente Trujillo,guadeloupe,,guadeloupe
Saint-Thomas,,,,,,,,saint_thomas,,saint_thomas
"Santo-Domingo, Dominican Republic",,,,,,,,santo_domingo_dominican_republic,,santo_domingo_dominican_republic
"Havana, Cuba",1941-06,,,,,,does not receive visa for NY or Mexico and must return to Cuba,havana_cuba,,havana_cuba
"Port-au-Prince, Haiti",1945-12-07,,,,1946,,"invited with his wife by Pierre Mabille, 4 months with André Breton",port_au_prince_haiti,,port_au_prince_haiti
"New York, New York, USA",,,,,,,"encounters Breton, Marcel Duchamp and Jeanne Raynal who present him to Nicolas Calas, Roberto Matta, Isamu Nogochi, Arshile Gorky, Robert Motherwell, Sonia Sekula, David Hare, Gerome Kamrowski, Frederick Kiesler",new_york_new_york_usa,,new_york_new_york_usa
"Paris, France",1946-07-09,,,,,,,paris_france,,paris_france
"Cannes, France",,,,,,,,cannes_france,,cannes_france
"New York, New York, USA",1948-06,,,,1948-09,,his wife Helena finds work in NY,new_york_new_york_usa,,new_york_new_york_usa
"Santiago de las Vegas, Cuba",1950-11,,,,1951-05,,,santiago_de_las_vegas_cuba,,santiago_de_las_vegas_cuba
Europe,1951-05,,,,,,,europe,,europe
Cuba,1952,,,,,,,cuba,,cuba
