C.L.R. James,clrjames,writer,Amanda Perry,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Tunapuna, Trinidad",1901-01-04,,Grimshaw 9,,,,James in born,,,tunapuna_trinidad,Tunapuna,,Trinidad,,,,
"Port-of-Spain, Trinidad",1910,,Grimshaw 9,,,,"Won a scholarship to attend Queen's Royal College. After graduation, he worked as a school teacher",,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
"London, England",1932-03,,Grimshaw 11,,,,Departs for the U.K.,,,london_england,London,,U.K.,,,,
"Nelson, UK",1932-05,,Grimshaw 11,,,,"James goes to join Learie Constantine, the cricket player",,,nelson_uk,Nelson,,U.K.,,,,
"Paris, France",1932,,Grimshaw 12,,1933-02,,"James goes to France for research on The Black Jacobins. Exact dates ambiguous (""the winter months"")",,,paris_france,,,France,,,,
"Nelson, UK",1933,,Grimshaw 12,,,,Returns from France to Nelson,,,nelson_uk,Nelson,,U.K.,,,,
"London, England",1933-04,,Grimshaw 12,,,,Moves to London,,,london_england,London,,U.K.,,,,
"Paris, France",,1933,Grimshaw 12,1934,,,"Goes to France for research on The Black Jacobins. Exact dates ambiguous (""the winter months"")",,,paris_france,,,France,,,,
"London, England",1934-03,,Grimshaw 12,,1935,Buhle 62,,,,london_england,London,,U.K.,,,,
"Paris, France",1935,,Buhle 62,,,,Date ambiguous,,,paris_france,Paris,,France,,,,
"Marseilles, France",1935,,Buhle 62,,,,Date ambiguous,,,marseilles_france,Marseille,,France,,,,
"London, England",1935,,Grimshaw 14,,1938,,,,,london_england,London,,U.K.,,,,
USA,1938-11,,"Hall 9, Buhle 174, Grimshaw 14",,,,Arrives in USA for lecture tour,,,usa,,,U.S.,,,,
"Philadelphia, Pennsylvania, USA",1938-11,,Grimshaw 14,,,,Two month lecture tour,,,philadelphia_pennsylvania_usa,Philadelphia,,U.S.,,,,
"Boston, Massachusetts, USA",1938-11,,Grimshaw 14,,,,Two month lecture tour,,,boston_massachusetts_usa,Boston,,U.S.,,,,
"Cleveland, Ohio, USA",1938-11,,Grimshaw 14,,,,Two month lecture tour,,,cleveland_ohio_usa,Cleveland,,U.S.,,,,
"Detroit, Michigan, USA",1938-11,,Grimshaw 14,,,,Two month lecture tour,,,detroit_michigan_usa,Detroit,,U.S.,,,,
"Minneapolis, Minnesota, USA",1938-12,,Grimshaw 14,,,,Two month lecture tour,,,minneapolis_minnesota_usa,Minneapolis,,U.S.,,,,
"Denver, Colorado, USA",1938-12,,Grimshaw 14,,,,Two month lecture tour,,,denver_colorado_usa,Denver,,U.S.,,,,
"San Francisco, California, USA",1938-12,,Grimshaw 14,,,,Two month lecture tour,,,san_francisco_california_usa,San Francisco,,U.S.,,,,
"Los Angeles, California, USA",1938-12,,Grimshaw 14,,,,Two month lecture tour,,,los_angeles_california_usa,Los Angeles,,U.S.,,,,
"New York, New York, USA",1938,,Grimshaw 14,,,,Based in New York following lecture tour,,,new_york_new_york_usa,New York,,U.S.,,,,
"Mexico City, Mexico",1939-04,,"Hall 10, Grimshaw 14",,1939-04,,"Meets Leon Trotsky. For a transcript of their interview, see CLR James Papers, Box 12 Folder 15. He returns via bus through the southern United States",,,mexico_city_mexico,Mexico City,,Mexico,,,,
"Veracruz, Mexico",1939-04,,James Special Delivery 46,,1939-04,,Stays for two days to catch the S.S. Tegucigalpa to New Orleans ( six day journey),,,veracruz_mexico,Veracruz,,Mexico,,,,
"New Orleans, Louisiana",1939-04,,James Special Delivery 46,,1939-04,,"Stays for three days before taking a bus to New York, stopping in Memphis on the way",,,new_orleans_louisiana,New Orleans,Louisiana,U.S.,,,,
"New York, New York, USA",1939,,James Special Delivery 55,,,,Based in New York ,,,new_york_new_york_usa,New York,,U.S.,,,,
"Washington, D.C., USA",,1939-08-31,,,,,James is in D.C. for the weekend on party work,,,washington_dc._usa,"Washington, D.C.",,U.S.,,,,
"New York, New York, USA",,1939,James Special Delivery 55,,1940,,Based in New York,,,new_york_new_york_usa,New York,,U.S.,,,,
"Washington, D.C., USA",,1940,James Special Delivery 63,,,,James spends several weeks at Howard with Eric Williams. The letter does not include a date,,,washington_dc._usa,"Washington, D.C.",,U.S.,,,,
"San Francisco, California, USA",,1940-03,James Special Delivery 62,,,,Reason for visit unclear,,,san_francisco_california_usa,San Francisco,California,U.S.,,,,
"Chicago, Illinois, USA",,1940-03,James Special Delivery 62,,,,Goes for convention in Chicago but too ill to attend,,,chicago_illinois_usa,Chicago,Illinois,U.S.,,,,
"New York, New York, USA",1940-04,,James Special Delivery 62,,,,Based in New York,,,new_york_new_york_usa,New York,,U.S.,,,,
"Los Angeles, California, USA",,1940-04,"Worcester 65, James Special Delivery 70",,,,James goes to L.A. to negotiate a potential split in the Socialist Workers Party,,,los_angeles_california_usa,Los Angeles,California,U.S.,,,,
"New York, New York, USA",,1940,Worcester 65,,1941,,Based in New York,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Missouri, USA",,1941,"Buhle 175, Grimshaw 16",,1942,,Participates in the share croppers' strike,,,missouri_usa,,Missouri,U.S.,,,,
"New York, New York, USA",1942-08,,"Buhle 175, James Special Delivery 70",,1943,,Based in New York,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Lincoln, Pennsylvania, USA",,1943,Worcester 65,,,,James meets Kwame Nkrumah while he is a student at Lincoln's college,,,lincoln_pennsylvania_usa,Lincoln,Pennsylvania,U.S.,,,,
"New York, New York, USA",1943,,Worcester 65,,,,Based in New York,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Los Angeles, California, USA",1944-05,,James Special Delivery 113,,1944-05-24,,Visiting Constance Webb,,,los_angeles_california_usa,Los Angeles,California,U.S.,,,,
"New York, New York, USA",1944-05-25,,James Special Delivery 113,,,,Based in New York,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Detroit, Michigan, USA",,1947-04-16,James Special Delivery 279,,1947-04-16,,Meetings regarding Johnson Forest Tendency,,,detroit_michigan_usa,Detroit,Michigan,U.S.,,,,
"Chicago, Illinois, USA",1947-04-16,,James Special Delivery 280,,,,Sends letter en route to Chicago,,,chicago_illinois_usa,Chicago,Illinois,U.S.,,,,
"Los Angeles, California, USA",,1947-04-19,James Special Delivery 283,,,,Motive of visit unclear,,,los_angeles_california_usa,Los Angeles,California,U.S.,,,,
"Cleveland, Ohio, USA",,1947-04-21,James Special Delivery 286,,,,Writes letter to Constance Webb,,,cleveland_ohio_usa,Cleveland,Ohio,U.S.,,,,
"Boulder, Colorado, USA",,1947-04,James Special Delivery 289,,,,Mentions one day trip to Boulder for meeting,,,boulder_colorado_usa,Denver,Colorado,U.S.,,,,
