Eslanda Goode Robeson,egrobeson,"anthropologist, journalist, activist",,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"London, England",1925-08-11,,Ransby 49,,1925-10,Ransby 51,,,,london_england,London,,England
"Paris, France",,1925-08-24,Ransby 304,1925-08-28,,Ransby 304,,,,paris_france,Paris,,France
"Villefranche, France",1925-10,,Ransby 51,,1925-12-16,Ransby 55,,,,villefranche_france,Villefranche,,France
"New York, New York, USA",1925-12-22,,Ransby 55,,1928-05,Ransby 60,,,,new_york_new_york_usa,New York City,,United States
"London, England",1928-05,,Ransby 60,,1930-03,Ransby 63,,,,london_england,London,,England
"Prague, Czech Republic",1930-01,,Ransby 283,,,,,,,prague_czech_republic,Prague,,Czech Republic
"Bucarest, Romania",1930-01,,Ransby 283,,,,,,,bucarest_romania,Bucharest,,Romania
"Dresden, Germany",1930-01,,Ransby 283,,,,,,,dresden_germany,Dresden,,Germany
"Düsseldorf, Germany",1930-01,,Ransby 283,,,,,,,dusseldorf_germany,Düsseldorf,,Germany
"Cologne, Germany",1930-01,,Ransby 283,,,,,,,cologne_germany,Cologne,,Germany
"Brno, Czech Republic",1930-01,,Ransby 283,,,,,,,brno_czech_republic,Brno,,Czech Republic
"Chernivtsi, Ukraine",1930-01,,Ransby 283,,,,,,,chernivtsi_ukraine,Chernivtsi,,Ukraine
"Vienna, Austria",1930-01,,Ransby 283,,,,,,,vienna_austria,Vienna,,Austria
"Territet, Switzerland",1930-03,,Ransby 63,,1930-03,Ransby 63,,,,territet_switzerland,Territet,,Switzerland
Scotland,1930-03,,Ransby 63,,,,Essie and Paul went on a concert tour in Scotland in late March. No return date given but most likely March or April 1930,,,scotland,,,Scotland
"London, England",,1930-09,Ransby 65,,,,,,,london_england,London,,England
"South Carolina, USA",,1931-03,Ransby 306,1931-04,,Ransby 306,,,,south_carolina_usa,,South Carolina,United States
