George Lamming,glamming,writer,,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Carrington Town, Barbados",1927-06-08,,Scott 75,,1946,,Lamming is born,,,carrington_town_barbados,Carrington Town,,Barbados,,,,
"Belmont, Trinidad",1946,,Scott 87,,1950,,Goes to Trinidad as a teacher at Colegio de Venezuela,,,belmont_trinidad,Belmont,,Trinidad,,,,
"London, England",1950-04,,Schwarz 6,,,,Leaves for England on the same ship as novelist Sam Selvon.  Lamming will be based in London until the late 1970s,,,london_england,London,,U.K.,,,,
"Paris, France",,1955,Scott 118,,,,date ambiguous for this visit,,,paris_france,Paris,,France,,,,
"Ibiza, Spain",,1955,Griswold 16,,,,Goes to Ibiza to visit the Canadian writer Mordecai Richler,,,ibiza_spain,Ibiza,,Spain,,,,
"New York, New York, USA",,1955-08,Lamming Pleasures of Exile 184; Schwarz 11,,,,Travel in connection with Gugghenheim Foundation fellowship. Stays on Riverside Drive with frequent visits to Harlem,,,new_york_new_york_usa,New York,,U.S.A.,,,,
"Long Island, New York, USA",1955-12-16,,Lamming Pleasures of Exile 204; Schwarz 11,,1955-12-23,Lamming Pleasures of Exile 207,"Attends a party of the African American ""elite""",,,long_island_new_york_usa,Long Island,,U.S.A.,,,,
"Georgia, USA",,1955,Lamming Pleasures of Exile 208; Schwarz 11,,,,Travel in connection with Gugghenheim Foundation fellowship. Could be early 1956,,,georgia_usa,Georgia,,U.S.A.,,,,
"Washington, D.C., USA",,1955,Lamming Pleasures of Exile 208; Schwarz 11,,,,Visits Howard University. Could be early 1956. He stays for a week,,,washington_dc._usa,Washington D.C.,,U.S.A.,,,,
"Kingston, Jamaica",,1955-12-25,Lamming Sovereignty 48,,,,Spends Christmas with Dorothy and John Figueroa. Other sources suggest this may have been 1954 ,,,kingston_jamaica,Kingston,,Jamaica,,,,
"Port-au-Prince, Haiti",,1956,"Lamming, Pleasures of Exile, 9",,,,Attends the Ceremony of Souls,,,port_au_prince_haiti,Port-au-Prince,,Haiti,,,,
Trinidad,,1956,Schwarz 11,,,,In Trinidad for the launch of Eric Williams' People's National Movement ,,,trinidad,,,Trinidad,,,,
Guyana,,1956,Schwarz 11,,,,Spends about three months in Guyana,,,guyana,,,Guyana,,,,
Jamaica,,1956,Schwarz 11,,,,"Schwarz mentions a trip, no details",,,jamaica,,,Jamaica,,,,
Puerto Rico,,1956,Schwarz 11,,,,"Schwarz mentions a trip, no details",,,puerto_rico,,,Puerto Rico,,,,
"Paris, France",,1956-09,Scott 120; Lamming Conversations 36,,,,"First Congress of Black Writers and Artists. Lamming gives the speech ""The Negro Writer and his World"" on September 21, 1956",,,paris_france,Paris,,France,,,,
"London, England",,1956,Griswold 16,,1958,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
"Ibiza, Spain",,1958,"Scott 169, Griswold 16",,,,"Writes most of Of Age and Innocence while in Spain. An interview in his personal files specifies that he was in Ibiza, having gone once earlier to visit Mordecai Richler",,,ibiza_spain,Ibiza,,Spain,,,,
"Accra, Ghana",,1958,Lamming Pleasures of Exile 160; Scott 154; Schwarz 11,,,,Visits Ghana shortly after independence,,,accra_ghana,Accra,,Ghana,,,,
"Kumasi, Ghana",,1958,Lamming Pleasures of Exile 163,,,,Visits Ghana shortly after independence,,,kumasi_ghana,Kumasi,,Ghana,,,,
"Zaria, Nigeria",,1959-01,Lamming Pleasures of Exile 173; Lamming Conversations 72,,,,Road trip,,,zaria_nigeria,Zaria,,Nigeria,,,,
"Lagos, Nigeria",,1959-01,Lamming Pleasures of Exile 174,,,,Road trip,,,lagos_nigeria,Lagos,,Nigeria,,,,
"Ibadan, Nigeria",,1959-01,Lamming Pleasures of Exile 174,,1959-01-20,,Road trip,,,ibadan_nigeria,Ibadin,,Nigeria,,,,
"Ilorin, Nigeria",1959-01-20,,Lamming Pleasures of Exile 174,,,,Road trip,,,ilorin_nigeria,Ilorin,,Nigeria,,,,
"Tegina, Nigeria",,1959-01,Lamming Pleasures of Exile 174,,,,Road trip,,,tegina_nigeria,Tegina,,Nigeria,,,,
"Kaduna, Nigeria",,1959-01,Lamming Pleasures of Exile 174,,,,Road trip,,,kaduna_nigeria,Kaduna,,Nigeria,,,,
"Benin, Nigeria",,1959-01,Lamming Pleasures of Exile 182,,,,Road trip,,,benin_nigeria,Benin,,Nigeria,,,,
"Sapele, Nigeria",,1959-01,Lamming Pleasures of Exile 182,,,,Road trip,,,sapele_nigeria,Sapele,,Nigeria,,,,
"London, England",,1959,Griswold 17,,,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
"Berlin, Germany",,1960,Lamming Conversations 72,,,,Stays in Berlin for one month while discussing the publication of Season of Adventure ,,,berlin_germany,Berlin,,Germany,,,,
"London, England",,1960,Griswold 18,,,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
"Montgomery, Alabama, USA",,1961,Schwarz 1,1961,,,"Lamming goes as a journalist, having been asked to make a documentary about the Freedom Rides by British television",,,montgomery_alabama_usa,Montgomery,Alabama,U.S.A.,,,,
"London, England",,1961,Schwarz 1,,,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
Canada,,1962,Lamming Conversations 72,,,,Based in Canada for a year on fellowship,,,canada,,,Canada,,,,
"London, England",,1962,Lamming Conversations 72,1965,,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
"Montreal, Canada",,1965,Lamming Conversations 252; Mills 237,,,,"Gives lecture for Conference on West Indian Affairs, ""The West Indian People: A View from 1965."" The text Conversations erroneously gives the location as the U.S.",,,montreal_canada,Montreal,Quebec,Canada,,,,
"London, England",,1965,Griswold 21,1966,,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
Trinidad,,1966,George Lamming Collection,,,,Edits two editions with the New World Group on the indepedence of Guyana and Barbados,,,trinidad,,,Trinidad,,,,
Guyana,,1966,George Lamming Collection,,,,Edits two editions with the New World Group on the indepedence of Guyana and Barbados,,,guyana,,,Guyana,,,,
Barbados,,1966,George Lamming Collection,,,,Edits two editions with the New World Group on the indepedence of Guyana and Barbados,,,barbados,,,Barbados,,,,
"London, England",,1966,George Lamming Collection,,1967,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
"Canterbury, UK",1967-09-15,,Brathwaite 59,,1967-09-17,,Attends the Caribbean Artist's Movement meeting at the University of Kent,,,canterbury_uk,Canterbury,,U.K.,,,,
"Kingston, Jamaica",1967-09,,Lamming Sovereignty 29,,1968-08,George Lamming Collection,University of West Indies lecturer for the 1967-68 academic year,,,kingston_jamaica,Kingston,,Jamaica,,,,
"London, England",1968-08,,Griswold 22,,1968-12,,"Unpublished interview with ""Griswold"" places him in London during this period",,,london_england,London,,U.K.,,,,
"Las Villas, Cuba",1968-12-09,,"Lamming, ""Actitudes,"" 56",,1968-12-14,,Lamming participates in a symposium on Caribbean literature with Henri Bangou at the Univerdad Central de las Villas,,,las_villas_cuba,Las Villas,,Cuba,,,,
"London, England",1968-12,,Griswold 22,,1970,,"An unpublished interview with ""Griswold"" places him in London during this period",,,london_england,London,,U.K.,,,,
"San Fernando, Trinidad",,1970,Scott 172,,,,Conference shortly after the Black Power protests,,,san_fernando_trinidad,San Fernando,,Trinidad,,,,
"Port-of-Spain, Trinidad",,1970,Scott 172,,,,Visits shortly after the Black Power protests,,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
"Houston, Texas, USA",,1970,"Lamming Conversations 57, Griswold 22",,,,Writer in residence at Texas Southern University,,,houston_texas_usa,Houston,Texas,USA,,,,
"Austin, Texas, USA",,1970,Lamming Conversations 57,,,,Gives lectures on Caribbean literature while based at Texas Southern University,,,austin_texas_usa,Austin,Texas,USA,,,,
"Storrs, Connecticut, USA",1971-09,,"Paquet 28, Griswold 22",,1971-12,Paquet 28,Lamming is a writer in residence at the University of Connecticut,,,storrs_connecticut_usa,Storrs,Connecticut,USA,,,,
"London, England",,1972-03-29,George Lamming Collection,,,,Contract in his archives puts him in London on this day,,,london_england,London,,U.K.,,,,
Antigua,,,Lamming Sovereignty 54,,,,Lamming lectures at the UWI Extra-Mural Department at some point in the early 1970s,,,antigua,,,Antigua,,,,
"London, England",1971,,George Lamming Collection,,1973,,"Assumed, as he is based in London during htis period",,,london_england,London,,U.K.,,,,
"Ithaca, New York, USA",,1973,Griswold 22,,,,Lamming is affiliated with Cornell University,,,ithaca_new_york_usa,Ithaca,New York,U.S.A.,,,,
"Kansas City, Missouri, USA",,1973-06-21,Paquet 28,,,,,,,kansas_city_missouri_usa,Kansas City,Missouri,USA,,,,
"London, England",1973,,Schwarz 16,,1974,,"Assumed, as he was based in London during this period",,,london_england,London,,U.K.,,,,
Barbados,1974,,"Lamming Conversations 19, George Lamming Collection",,1974,,,,,barbados,,,Barbados,,,,
"Hato Rey, Puerto Rico",,1974-10-21,George Lamming Collection,,,,Gives lecture at Interamerican University,,,hato_rey_puerto_rico,Hato Rey,,Puerto Rico,,,,
"Carolina, Puerto Rico",,1974-10-22,George Lamming Collection,,,,Gives lecture at the Instituto Caribeño de Estudios Posgraduados,,,carolina_puerto_rico,Carolina,,Puerto Rico,,,,
"Rio Piedras, Puerto Rico",,1974-10-23,George Lamming Collection,,,,Gives lecture at the Universidad de Puerto Rico (check this against lecture in Conversations),,,rio_piedras_puerto_rico,Rio Piedras,,Puerto Rico,,,,
"San Juan, Puerto Rico",,1974-11-24,Lamming Conversations 126,,,,"Gives lecture ""On West Indian Writing."" I suspect this date might be wrong and the lecture was actually in October",,,san_juan_puerto_rico,San Juan,,Puerto Rico,,,,
"London, England",1974,,Griswold 22,,1975,,"An unpublished interview with ""Griswold"" places him in London during this period",,,london_england,London,,U.K.,,,,
Denmark,1975,,Griswold 23,,,,Interview with Griswold. Lamming had a lectureship - it is unclear whether this was late 1974 or early 1975,,,denmark,,,Denmark,,,,
"Dar-Es-Salaam, Tanzania",1975,,Griswold 23,,,,Interview with Griswold. Lamming was a writer in residence and lecturer for about four months,,,dar_es_salaam_tanzania,Dar es Salaam,,Tanzania,,,,
"Limura, Kenya",1975,,Lamming Sovereignty 53,,,,Lamming meets with Ngugi wa Thiong'o,,,limura_kenya,Limuru,,Kenya,,,,
"Nairobi, Kenya",1975,,George Lamming Collection,,,,Lamming also visits Nairobi while associated with the University of Dar es Salaam,,,nairobi_kenya,Nairobi,,Kenya,,,,
"Havana, Cuba",1976-02,,"""Al Pie de la Letra"" 165",,,,Lamming participates in a symposium to discuss the 1976 Casa de las Américas prize,,,havana_cuba,Havana,,Cuba,,,,
Australia,,1976,"Philips 10, Griswold 23",,,,Lamming had a Commonwealth Literature fellowship that took him to Australia and India for about three months,,,australia,,,Australia,,,,
India,,1976,"Philips 10, Griswold 23",,,,Lamming had a Commonwealth Literature fellowship that took him to Australia and India for about three months ,,,india,,,India,,,,
"Philadelphia, Pennsylvania, USA",,1977-03,George Lamming Collection,,,,"Lamming has a Symposium program, so this may be the seemster when he was based at the University of Pennsylvania",,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,U.S.A.,,,,
"London, England",,1977-06-24,Griswold 1 ,,,,Lamming gives an interview with Griswold at his study,,,london_england,London,,U.K.,,,,
Barbados,,1978,Schwarz 16,,,,Lamming returns to Barbados at some point in the late 1970s,,,barbados,,,Barbados,,,,
"Havana, Cuba",1979-07,,"Lamming ""Identidad"" 35",,1979-07,,Lamming participates in the Symposium on Caribbean cultural identity at Carifesta 1979,,,havana_cuba,Havana,,Cuba,,,,
"Philadelphia, Pennsylvania, USA",,1979-09-11,Dance 143,,,,Gave an interview in Philadelphia at the home of poet Sonia Sanchez,,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,U.S.A.,,,,
Barbados,,1979,Schwarz 16,,,,"Date assumed, as Lamming was based in Barbados during this time period",,,barbados,,,Barbados,,,,
"Georgetown, Guyana",,1980-06-21,Lamming Conversations 184,,,,Lamming gives the eulogy at Walter Rodney's funeral,,,georgetown_guyana,Georgetown,,Guyana,,,,
Barbados,,1980,Schwarz 16,,1981,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
Barbados,,1981-08-29,Lamming Conversations 217,,,,"Gives the lecture ""The Honourable Member""",,,barbados,,,Barbados,,,,
"Havana, Cuba",,1981-09-04,"""Participantes""  41",1981-09-07,,,"Participates in the ""Encuentro de Intelectuales por la Sobernía de los Pueblos de Nuestra América""",,,havana_cuba,Havana,,Cuba,,,,
Suriname,,1981-12-02,George Lamming Collection,1981-12-04,,,"Pamphlet ""George Lamming in Surinam"" includes an interview and a lecture given at STVS",,,suriname,,,Suriname,,,,
"Kingston, Jamaica",,1981-12-12,Lamming Conversations 202,,,,"Gives the lecture ""The Imperial Encirclement""",,,kingston_jamaica,Kingston,,Jamaica,,,,
Barbados,,1981,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
Dominica,,1982,Lamming Conversations 226,,,,"Gives the lecture ""Nationalism and Nation""; he says it is his second visit to Dominica",,,dominica,,,Dominica,,,,
Grenada,,1982-10,Lamming Conversations 22,,,,Attends a regional conference on Culture and Sovereignty,,,grenada,,,Grenada,,,,
"Carriacou, Saint Vincent and the Grenadines",,1982-10,Lamming Conversations 22,,,,,,,carriacou_saint_vincent_and_the_grenadines,,Carriacou,St. Vincent and the Grenadines,,,,
Barbados,,1982,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Havana, Cuba",,1983-10,Scott 190,,,,Lamming was going to a meeting in Havana during the crisis in Grenada when Maurice Bishop was murdered,,,havana_cuba,Havana,,Cuba,,,,
Barbados,1983,,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Port-of-Spain, Trinidad",,1983-10-12,Lamming Conversations 237,,,,"Lamming gives the lecture ""The Tragedy of a Whole Region"" for Memorial Service for Maurice Bishop and his colleagues",,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
"Cave Hill, Barbados",,1983-11-17,Lamming Conversations 244,,,,"Lamming gives the lecture ""The Plantation Mongrel""",,,cave_hill_barbados,Cave Hill,,Barbados,,,,
Trinidad,,1984-01,Lamming Conversations 283,,,,Attends the second conference for Regional Committee for Cultural Sovereignty,,,trinidad,,,Trinidad,,,,
"Havana, Cuba",,1984-04-25,Lamming Conversations 187,1984-04-28,,,"Gives the lecture for Casa de las Américas 25th anniversary, ""The House of Reconciliation""",,,havana_cuba,Havana,,Cuba,,,,
Barbados,,1984,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Kingston, Jamaica",1984-12,,George Lamming Collection,,,,"Gives the lecture  ""Sovereignty, Mobilization, and Cultural Consciousness"" at Regional Seminar on Caribbean Sovereignty",,,kingston_jamaica,Kingston,,Jamaica,,,,
Barbados,,1984,Schwarz 16,,1985-05-28,George Lamming Collection,Departure date given by plane ticket,,,barbados,,,Barbados,,,,
Trinidad,1985-05-28,,George Lamming Collection,,1985-06-03,George Lamming Collection,Plane ticket,,,trinidad,,,Trinidad,,,,
Barbados,1985-06-03,,"George Lamming Collection, Lamming Conversations 283",,,,"Plane ticket. Lamming also gives the lecture ""Culture and Sovereignty"" in Barbados in 1985",,,barbados,,,Barbados,,,,
"Buxton, Guyana",,1986-08-01,Lamming Conversations 288,,,,"Gives the lecture ""The Makers of History"" for Emancipation Day",,,buxton_guyana,Buxton,,Guyana,,,,
Barbados,,1986,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Havana, Cuba",,1987,George Lamming Collection,,,,Gives a workshop sponsored by Casa de las Américas and the Permanent Committee of Intellectuals for the Sovereignty of the Peoples of Our America,,,havana_cuba,Havana,,Cuba,,,,
"Chapel Hill, North Carolina",1987-01,,George Lamming Collection,,1987-05,,A letter from Roberto Márquez suggests he is at UNC-Chapel Hill for the semester,,,chapel_hill_north_carolina,Chapel Hill,North Carolina,USA,,,,
Trinidad,,1988-06,Lamming Conversations 199,,,,Visiting CLR James,,,trinidad,,,Trinidad,,,,
Barbados,,1988,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
