Kamau Brathwaite,kbrathwaite,"poet, historian",,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Bridgetown, Barbados",1930-05-11,,"""Edward Kamau Brathwaite,"" Contemporary Authors Online",,1950,"Breiner, Laurence A. ",Birth,,,bridgetown_barbados,,Barbados,
"Cambridge, England",1950,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1954,"Breiner, Laurence A. ",Attended Pembroke College,,,cambridge_england,,England,
"Accra, Ghana",1955,,"Breiner, Laurence A. ",,,,Works for Ghana's Department of Education; City ambiguous,,,accra_ghana,,Ghana,
"Ho, Trans-Volta Togoland",1956,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,Plebiscite officer for the UN; City ambiguous,,,ho_trans_volta_togoland,,Trans-Volta Togoland,
"Bridgetown, Barbados",1960,,"Breiner, Laurence A. ",,,,"On leave from position in Ghana, meets and marries wife; City ambiguous",,,bridgetown_barbados,,Barbados,
"Castries, Saint Lucia",1962,,"Breiner, Laurence A. ",,1963,"Breiner, Laurence A. ",Works as resident tutor; City ambiguous ,,,castries_saint_lucia,,Saint Lucia,
"Mona, Jamaica",1963,,"Breiner, Laurence A. ",,1965,"Breiner, Laurence A. ",UWI Mona,,,mona_jamaica,,Jamaica,
"Falmer, Sussex, England",1965,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,Attended University of Sussex,,,falmer_sussex_england,Sussex,England,
"London, England",1966,,"Ngũgĩ wa Thiong'o, pg. 677",,,,Meets article author at Caribbean Arts Movement gathering,,,london_england,,England,
"Falmer, Sussex, England",1966,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1968,"Breiner, Laurence A. ",,,,falmer_sussex_england,Sussex,England,
"Mona, Jamaica",1968,,"Breiner, Laurence A. ",,,,"Returns to Jamaica after PhD in England, potentially here up til 1991 when he moves to NYU",,,mona_jamaica,,Jamaica,
"Carbondale, Illinois, USA",1970,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1971,"""Edward Kamau Brathwaite,"" Contemporary Poets","Visiting professor, Southern Illinois University ",,,carbondale_illinois_usa,Illinois,USA,
"Nairobi, Kenya",1971,,"""Edward Kamau Brathwaite,"" Contemporary Poets",1972,,World Literature Today,"Nairobi University, City of Nairobi fellowship; Naming ceremony 1972 in Limura, Kenya",,,nairobi_kenya,,Kenya,
"Limura, Kenya",1972,,"Cobham-Sander, 81",,,,Naming ceremony,,,limura_kenya,,Kenya,
"Georgetown, Guyana",1972,,"""The First Carifesta,"" Carribean Beat ",,,,Carifesta I; City ambiguous,,,georgetown_guyana,,Guyana,
"Boston, Massachusetts, USA",1975,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1976,"""Edward Kamau Brathwaite,"" Contemporary Poets",Boston University,,,boston_massachusetts_usa,Massachusettes,USA,
"Kingston, Jamaica",1976,,"""The First Carifesta,"" Carribean Beat ",,,,Gives lecture at Carifesta II,,,kingston_jamaica,,Jamaica,
"Cambridge, Massachusetts, USA",1979,,"Bindella, Davis",,,,Gives lecture at Harvard,,,cambridge_massachusetts_usa,Massachusettes,USA,
"Bremen, Germany",1980,,"Brathwaite, ""Afternoon of the Status Crow"" ",,,,Presents lecture ,,,bremen_germany,,Germany,
