W.E.B. Du Bois,webdubois,"scholar, activist",,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Great Barrington, Massachusetts, USA",1868-02-23,,"Lewis, Biography of a Race 3",,1883-07,"Lewis, Biography of a Race 16",Birth & childhood in Great Barrington,,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,US,,,,
"Hartford, Connecticut, USA",1883-07,,"Lewis, Biography of a Race 44",,1883-07,"Lewis, Biography of a Race","Stopover on trip to New Bedford, Massachusetts ",,,hartford_connecticut_usa,Hartford,Connecticut,US,,,,
"Providence, Rhode Island",1883-07,,"Lewis, Biography of a Race 44",,1883-07,"Lewis, Biography of a Race 44","Visit to a Burghardt (maternal) relative on the way to New Bedford, Massachusetts",,,providence_rhode_island,Providence,Rhode Island,US,,,,
"New Bedford, Massachusetts, USA",1883-07,,"Lewis, Biography of a Race 44",,1883-08,"Lewis, Biography of a Race 44",Visit to Alexander Du Bois (paternal grandfather),,,new_bedford_massachusetts_usa,New Bedford,Massachusetts,US,,,,
"Providence, Rhode Island",1883-08-01,,"Lewis, Biography of a Race 44",,1883-08,"Lewis, Biography of a Race 44","Participated in British Emancipation Day festivities at Rocky Point, Narrangansett Bay",,,providence_rhode_island,Providence,Massachusetts,US,,,,
"Great Barrington, Massachusetts, USA",1883-08,,"Lewis, Biography of a Race 63",,1885-09,"Lewis, Biography of a Race 63","Returned to Great Barrington, Massachussetts after visit to Alexander Du Bois",,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,US,,,,
"Nashville, Tennessee, USA",1885-09,,"Lewis, Biography of a Race 63",,1886-06,"Lewis, Biography of a Race 67",Moved to Nashville to attend Fiske University,,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Lebanon, Tennessee, USA",1886-06,,"Lewis, Biography of a Race 67",,1886-08,"Lewis, Biography of a Race 69","Spent summer teaching in Wilson County, Tennessee",,,lebanon_tennessee_usa,Lebanon,Tennessee,US,,,,
"Nashville, Tennessee, USA",1886-09,,"Lewis, Biography of a Race 69",,1887-06,"Lewis, Biography of a Race 69",Returned to Fisk,,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Alexandria, Tennessee, USA",1887-06,,"Lewis, Biography of a Race 69",,1887-08,"Lewis, Biography of a Race 69","Spent summer teaching in Wilson County, Tennesseee",,,alexandria_tennessee_usa,Alexandria,Tennessee,US,,,,
"Nashville, Tennessee, USA",1887-09,,"Lewis, Biography of a Race 75",,1888-06,"Lewis, Biography of a Race 87",Returned to Fisk to finish degree,,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Lake Minnetonka, Minnesota, USA",1888-06,,"Lewis, Biography of a Race 87",,1888-08,"Lewis, Biography of a Race 87","Summer work in Lake Minetonka, Minnesota",,,lake_minnetonka_minnesota_usa,Lake Minetonka,Minnesota,US,,,,
"Cambridge, Massachusetts, USA",1888-09,,"Lewis, Biography of a Race 87",,1889-06,"Lewis, Biography of a Race 99","Moved to Cambridge, Massachusetts to attend Harvard University",,,cambridge_massachusetts_usa,Cambridge,Massachusetts,US,,,,
"Great Barrington, Massachusetts, USA",1889-06,,"Lewis, Biography of a Race 99",,1889-08,"Lewis, Biography of a Race 99","Traveled in Massachusetts & Connecticut during Summer 1889, exact itinerary unknown",,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,IS,,,,
"Cambridge, Massachusetts, USA",1889-08,,"Lewis, Biography of a Race 99",1890,,"Lewis, Biography of a Race 103",Returned to Cambridge for Harvard,,,cambridge_massachusetts_usa,Cambridge,Massachusetts,US,,,,
