C.L.R. James,cjames,"scholar, novelist, politician",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Tunapuna,,Trinidad,1901-01-04,,Grimshaw 9,,,,,,
Port-of-Spain,,Trinidad,1910,,Grimshaw 9,,,,"CLR James won a scholarship to attend Queen's Royal College. After graduation, he worked as a school teacher",,
London,,U.K.,1932-03,,Grimshaw 11,,,,,,
Nelson,,U.K.,1932-05,,Grimshaw 11,,,,"James goes to join Learie Constantine, the cricket player",,
,,France,1932-11,,Grimshaw 12,,1933-02,,"James goes to France for research on The Black Jacobins. Exact dates ambiguous (""the winter months"")",,
Nelson,,U.K.,1933-03,,Grimshaw 12,,,,,,
London,,U.K.,1933-04,,Grimshaw 12,,,,James moves to London,,
,,France,1933-11,,Grimshaw 12,,1934-02,,"James goes to France for research on The Black Jacobins. Exact dates ambiguous (""the winter months"")",,
London,,U.K.,1934-03,,Grimshaw 12,,1935,Buhle 62,,,
Paris,,France,1935,,Buhle 62,,,,Date ambiguous,,
Marseille,,France,1935,,Buhle 62,,,,Date ambiguous,,
London,,U.K.,1935,,Grimshaw 14,,1938,,,,
,,U.S.,1938-11,,"Hall 9, Buhle 174, Grimshaw 14",,,,,,
Philadelphia,,U.S.,1938-11,,Grimshaw 14,,,,Two month lecture tour,,
Boston,,U.S.,1938-11,,Grimshaw 14,,,,Two month lecture tour,,
Cleveland,,U.S.,1938-11,,Grimshaw 14,,,,Two month lecture tour,,
Detroit,,U.S.,1938-11,,Grimshaw 14,,,,Two month lecture tour,,
Minneapolis,,U.S.,1938-12,,Grimshaw 14,,,,Two month lecture tour,,
Denver,,U.S.,1938-12,,Grimshaw 14,,,,Two month lecture tour,,
San Francisco,,U.S.,1938-12,,Grimshaw 14,,,,Two month lecture tour,,
Los Angeles,,U.S.,1938-12,,Grimshaw 14,,,,Two month lecture tour,,
New York,,U.S.,,,Grimshaw 14,,,,,,
Mexico City,,Mexico,1939-04,,"Hall 10, Grimshaw 14",,1939-04,,"James goes to meet Leon Trotsky. For a transcript of their interview, see CLR James Papers, Box 12 Folder 15. He returns via bus through the southern United States",,
Veracruz,,Mexico,1939-04,,James Special Delivery 46,,1939-04,,He stays for two days to catch the S.S. Tegucigalpa to New Orleans ( six day journey),,
New Orleans,Louisiana,U.S.,1939-04,,James Special Delivery 46,,1939-04,,"James stays for three days before taking a bus to New York, stopping in Memphis on the way",,
New York,,U.S.,1939,,James Special Delivery 55,,,,,,
"Washington, D.C.",,U.S.,,1939-08-31,,,,,James is in D.C. for the weekend on party work,,
New York,,U.S.,,1939,James Special Delivery 55,,1940,,,,
"Washington, D.C.",,U.S.,,,James Special Delivery 63,,,,James spends several weeks at Howard with Eric Williams. The letter does not include a date,,
San Francisco,California,U.S.,,1940-03,James Special Delivery 62,,,,,,
Chicago,Illinois,U.S.,,1940-03,James Special Delivery 62,,,,,,
New York,,U.S.,1940-04,,James Special Delivery 62,,,,,,
Los Angeles,California,U.S.,,1940-4,"Worcester 65, James Special Delivery 70",,,,James goes to L.A. to negotiate a potential split in the Socialist Workers Party,,
New York,New York,U.S.,,1940,Worcester 65,,1941,,,,
,Missouri,U.S.,,1941,"Buhle 175, Grimshaw 16",,1942,,James participates in the share croppers' strike,,
New York,New York,U.S.,1942-08,,"Buhle 175, James Special Delivery 70",,1943,,,,
Lincoln,Pennsylvania,U.S.,,1943,Worcester 65,,,,James meets Kwame Nkrumah while he is a student at Lincoln's college,,
New York,New York,U.S.,1943,,Worcester 65,,,,,,
Los Angeles,California,U.S.,1944-05,,James Special Delivery 113,,1944-05-24,,,,
New York,New York,U.S.,1944-05-25,,James Special Delivery 113,,,,,,
Detroit,Michigan,U.S.,,1947-04-16,James Special Delivery 279,,1947-04-16,,,,
Chicago,Illinois,U.S.,1947-04-16,,James Special Delivery 280,,,,,,
Los Angeles,California,U.S.,,1947-04-19,James Special Delivery 283,,,,,,
Cleveland,Ohio,U.S.,,1947-04-21,James Special Delivery 285,,,,,,
Denver,Colorado,U.S.,,1947-04,James Special Delivery 285,,,,,,
Chicago,Illinois,U.S.,,,James Special Delivery 285,1947-04-29,,,,,
New York,New York,U.s>,,,James Special Delivery 285,,,,,,
Reno,Nevada,U.S.,1948-08-01,,James Special Delivery 310,1948-11-09,,,"James stayed in Reno for several months to secure his divorce from Juanita James, his first wife.",,
New York,New York,U.S.,1948,,Buhle 175,,1952,,,,
Ellis Island,New York,U.S.,1952,,Buhle 175,,1953,,"Interned at Ellis Island, where he writes Mariners, Renegades, and Castaways. James was there for six months.",,
London,,U.K.,1953,,Buhle 175,,,,,,
Paris,,France,,1954-03-09,CLR James Papers Box 11 Folder 2,,,,"Gives talk ""Popular art and the cultural tradition"" at the Congress of Cultural Freedom",,
London,,U.K.,1954,,Buhle 175,,1957,,,,
,,Ghana,1957-03,,Grimshaw 19,,1957,,James is invited by Kwame Nkrumah for Independence Day celebrations,,
London,,U.K.,1957,,Grimshaw 19,,1958,,,,
,,Spain,1958-01,,CLR James Papers Box 2 Folder 2,,1958-06,,James and Selma James spend six months in Spain working on Beyond a Boundary,,
Georgetown,,British Guiana,,1958-06,CLR James Papers Box 10 Folder 17 ,,,,James lectures on the West Indies Federation at Queen's College,,
,,Trinidad,1958,,Buhle 175,,1960,,James returns to Trinidad on Eric Williams' request to become involved with the Peoples' National Movement,,
,,Ghana,1960,,Grimshaw 19,,1960,,,,
,,Trinidad,1960,,Grimshaw 19,,,,,,
,,Jamaica,,1961,"Worcester 169, CLR James Papers Box 2 Folder 2 ",1961-11,,,James gets in a road accident while in Jamaica,,
