Lydia Cabrera,lcabrera,"Writer, Ethnographer, Anthropologist",,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Link to resources
Havana,,Cuba,1899-05-20,,Rodriguez-Plate,,,,Birth,
Paris,,France,,1927,Rodriguez-Plate 8,,,,Studied at L’Ecole du Louvre and attended courses at L’Ecole des Beaux Arts,
Havana,,Cuba,,1930,University of Miami Lydia Cabrera Papers,,,,"Photo taken with the Iyalocha Odedei in La Habana, Cuba",http://merrick.library.miami.edu/cdm/singleitem/collection/chc0339/id/1685/rec/30
Paris,,France,,1935,University of Miami Lydia Cabrera Papers,,,,,
Marienbad,,Czech Republic,,1935-08,University of Miami Lydia Cabrera Papers,,,,Photo taken with British writer Rudyard Kipling,http://merrick.library.miami.edu/cdm/singleitem/collection/chc0339/id/4930/rec/35
Leysin,,Switzerland,,,,1936-04-04 ,,Rodriguez-Plate 8,"With her friend and Venezuelan writer, Teresa de la Parra, until her death by tuberculosis",
Havana,,Cuba,1937,,Rodriguez-Plate 10,1960,,Rodriguez-Plate 10,Returns to Cuba from her studies in France,
Miami,,United States,1960,,University of Miami Lydia Cabrera Papers,,,,Moved from Cuba to the United States after the revolution,
New York City,,United States,,1984,University of Miami Lydia Cabrera Papers,,,,,
Miami,,United States,,,,,1991-09-19,Rodriguez-Plate 10,,
